rank,name,postcode,address,rating,reviewCount,removedRange,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url
103,Cafe Extrablatt Leverkusen,51371,,4.1,3087,1,1,1,1,0.03,4.099,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Cafe+Extrablatt+Leverkusen/data=!4m7!3m6!1s0x47bf2eecbfaf69db:0x7bdab32fa22ba9b6!8m2!3d51.0321846!4d6.9850458!16s%2Fg%2F11c5_ssvy3!19sChIJ22mvv-wuv0cRtqkroi-z2ns?authuser=0&hl=de&rclk=1
104,Autohaus Luchtenberg,51381,,4.6,2010,1,1,1,1,0.05,4.598,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Autohaus+Luchtenberg/data=!4m7!3m6!1s0x47bf2c040a98acf1:0x41e499797c9afd84!8m2!3d51.0579146!4d7.0186913!16s%2Fg%2F1tcwkq2m!19sChIJ8ayYCgQsv0cRhP2afHmZ5EE?authuser=0&hl=de&rclk=1
105,"Station - Hostel für Backpacker, Köln",51375,,3.7,1443,1,1,1,1,0.07,3.698,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,"https://www.google.com/maps/place/Station+-+Hostel+f%C3%BCr+Backpacker,+K%C3%B6ln/data=!4m10!3m9!1s0x47bf25a4fd2c2e41:0xc5659141a0475139!5m2!4m1!1i2!8m2!3d50.944065!4d6.956173!16s%2Fg%2F1td3qmh_!19sChIJQS4s_aQlv0cROVFHoEGRZcU?authuser=0&hl=de&rclk=1"
106,Los Amigos Restaurant in Leverkusen.,51371,,4.8,1214,1,1,1,1,0.08,4.797,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Los+Amigos+Restaurant+in+Leverkusen./data=!4m7!3m6!1s0x47bf2c3e78efec77:0xa8ac56adf4843103!8m2!3d51.069541!4d7.000417!16s%2Fg%2F11b7362r13!19sChIJd-zveD4sv0cRAzGE9K1WrKg?authuser=0&hl=de&rclk=1
107,Moxy Cologne Muelheim,51373,,4.2,1086,1,1,1,1,0.09,4.197,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Moxy+Cologne+Muelheim/data=!4m10!3m9!1s0x47bf2601feb638e1:0xc5ca890ea1a6bee3!5m2!4m1!1i2!8m2!3d50.9689382!4d7.0108488!16s%2Fg%2F11t16h8g9f!19sChIJ4Ti2_gEmv0cR476moQ6JysU?authuser=0&hl=de&rclk=1
108,"Classik Hotel Antonius, Köln",51375,,4.4,923,1,1,1,1,0.11,4.396,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,"https://www.google.com/maps/place/Classik+Hotel+Antonius,+K%C3%B6ln/data=!4m10!3m9!1s0x47bf25bcd2338947:0xacdbccdc244daa12!5m2!4m1!1i2!8m2!3d50.9482939!4d6.9598211!16s%2Fg%2F1vzn4ptm!19sChIJR4kz0rwlv0cREqpNJNzM26w?authuser=0&hl=de&rclk=1"
109,Hotel Fortune,51371,,4,789,1,1,1,1,0.13,3.996,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hotel+Fortune/data=!4m10!3m9!1s0x47bf2fa256c386b9:0x6fbcc4a0e944a717!5m2!4m1!1i2!8m2!3d50.99612!4d6.948768!16s%2Fg%2F11bxg_f_tv!19sChIJuYbDVqIvv0cRF6dE6aDEvG8?authuser=0&hl=de&rclk=1
110,Romantik Hotel-Restaurant Altenberger Hof,51381,,4.2,613,1,1,1,1,0.16,4.195,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Romantik+Hotel-Restaurant+Altenberger+Hof/data=!4m10!3m9!1s0x47bed5f805b39c5d:0x36fe63189710fc2b!5m2!4m1!1i2!8m2!3d51.055659!4d7.131843!16s%2Fg%2F1tcx6467!19sChIJXZyzBfjVvkcRK_wQlxhj_jY?authuser=0&hl=de&rclk=1
111,Kristallhotel FETTEHENNE,51371,,4.6,548,1,1,1,1,0.18,4.593,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Kristallhotel+FETTEHENNE/data=!4m10!3m9!1s0x47bf2ddf0a2775d5:0xab0c65e541122635!5m2!4m1!1i2!8m2!3d51.0583028!4d6.9511083!16s%2Fg%2F11ckvff70x!19sChIJ1XUnCt8tv0cRNSYSQeVlDKs?authuser=0&hl=de&rclk=1
112,Restaurant Dion,51371,,4.7,505,1,1,1,1,0.2,4.693,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Restaurant+Dion/data=!4m7!3m6!1s0x47bf2c181b71856d:0x35f487297fac3e10!8m2!3d51.0637394!4d7.0025858!16s%2Fg%2F11fx9d1sj1!19sChIJbYVxGxgsv0cRED6sfymH9DU?authuser=0&hl=de&rclk=1
113,The Ascot Hotel Köln,51375,,3.9,472,1,1,1,1,0.21,3.894,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/The+Ascot+Hotel+K%C3%B6ln/data=!4m10!3m9!1s0x47bf25089fd162f3:0x7dbc6a8654c9b64a!5m2!4m1!1i2!8m2!3d50.9421219!4d6.9400531!16s%2Fg%2F1tf14_w5!19sChIJ82LRnwglv0cRSrbJVIZqvH0?authuser=0&hl=de&rclk=1
114,Hotel Viktoria,51373,,4.3,405,1,1,1,1,0.25,4.292,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hotel+Viktoria/data=!4m10!3m9!1s0x47bf2595cb31c847:0x29ef7a07c78989c0!5m2!4m1!1i2!8m2!3d50.953632!4d6.9688642!16s%2Fg%2F1tlc7622!19sChIJR8gxy5Ulv0cRwImJxwd67yk?authuser=0&hl=de&rclk=1
115,Pizzeria Ramazzo,51371,,5,241,1,1,1,1,0.41,4.983,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Pizzeria+Ramazzo/data=!4m7!3m6!1s0x47bf2d0015e98469:0xd3a5b16fcbe99faf!8m2!3d51.059401!4d7.0035931!16s%2Fg%2F11w_mkg443!19sChIJaYTpFQAtv0cRr5_py2-xpdM?authuser=0&hl=de&rclk=1
116,Hotel Villa Sophia,51373,,3.5,238,1,1,1,1,0.42,3.49,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hotel+Villa+Sophia/data=!4m10!3m9!1s0x47bf252b770a20c9:0x7d39a6ce1b1f2428!5m2!4m1!1i2!8m2!3d50.9516754!4d6.9606604!16s%2Fg%2F11vdxsnbq5!19sChIJySAKdyslv0cRKCQfG86mOX0?authuser=0&hl=de&rclk=1
117,Car Wrapping Center Leverkusen,51381,,4.9,181,1,1,1,1,0.55,4.879,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Car+Wrapping+Center+Leverkusen/data=!4m7!3m6!1s0x47bf2d2682595991:0x5a3606df1fa3ebbd!8m2!3d51.0588347!4d7.0180453!16s%2Fg%2F11hj4cks9t!19sChIJkVlZgiYtv0cRveujH98GNlo?authuser=0&hl=de&rclk=1
118,Physiotherapie Leverkusen-Quettingen - PhysioSport 360°,51381,,4.9,130,1,1,1,1,0.76,4.87,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Physiotherapie+Leverkusen-Quettingen+-+PhysioSport+360%C2%B0/data=!4m7!3m6!1s0x47bf2c0437523289:0xe38a0a47ff76827f!8m2!3d51.059671!4d7.019519!16s%2Fg%2F11cs43w_0m!19sChIJiTJSNwQsv0cRf4J2_0cKiuM?authuser=0&hl=de&rclk=1
119,KARL‘s Weinbar,51373,,4.5,106,1,1,1,1,0.93,4.467,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/KARL%E2%80%98s+Weinbar/data=!4m7!3m6!1s0x47bf25001ecc5249:0xd8f0d52c0fb7f793!8m2!3d50.9563324!4d6.9047249!16s%2Fg%2F11m784yb09!19sChIJSVLMHgAlv0cRk_e3DyzV8Ng?authuser=0&hl=de&rclk=1
120,VERO Brautmoden,51381,,5,101,1,1,1,1,0.98,4.961,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/VERO+Brautmoden/data=!4m7!3m6!1s0x47bf2fd049d1db99:0x242ee26f22e33df2!8m2!3d51.0665492!4d7.027589!16s%2Fg%2F11f9vsj9t9!19sChIJmdvRSdAvv0cR8j3jIm_iLiQ?authuser=0&hl=de&rclk=1
121,Fahrschule Bodo Henkel GmbH - Leverkusen,51377,,4.9,85,1,1,1,1,1.16,4.855,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Fahrschule+Bodo+Henkel+GmbH+-+Leverkusen/data=!4m7!3m6!1s0x47bf2c09c4cb2d8f:0xc78f98f10c463f99!8m2!3d51.0660903!4d7.0282548!16s%2Fg%2F1wh4d_d5!19sChIJjy3LxAksv0cRmT9GDPGYj8c?authuser=0&hl=de&rclk=1
122,Beko's Döner,51373,,4,74,1,1,1,1,1.33,3.96,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Beko%27s+D%C3%B6ner/data=!4m7!3m6!1s0x47bf2d86b1534aa5:0xf4db025ee443ef75!8m2!3d51.0650971!4d7.003566!16s%2Fg%2F11ycbxq6sb!19sChIJpUpTsYYtv0cRde9D5F4C2_Q?authuser=0&hl=de&rclk=1
123,Murat Türkan Barber Salon,51371,,4.9,66,1,1,1,1,1.49,4.842,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Murat+T%C3%BCrkan+Barber+Salon/data=!4m7!3m6!1s0x47bf2f545e3e7807:0xc9ba896b33dcf0ad!8m2!3d51.0321251!4d6.9874062!16s%2Fg%2F11xzhqct97!19sChIJB3g-XlQvv0cRrfDcM2uJusk?authuser=0&hl=de&rclk=1
124,Hotel in der Strassen,51381,,4.6,55,1,1,1,1,1.79,4.536,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hotel+in+der+Strassen/data=!4m10!3m9!1s0x47b92aa86add641d:0x87a4a64b0551c53a!5m2!4m1!1i2!8m2!3d51.1376251!4d7.1548494!16s%2Fg%2F11g8bwppmw!19sChIJHWTdaqgquUcROsVRBUumpIc?authuser=0&hl=de&rclk=1
125,Salon Kikana Barbier,51375,,4.5,55,1,1,1,1,1.79,4.438,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Salon+Kikana+Barbier/data=!4m7!3m6!1s0x47bf296981d0f90b:0x49492dc9093bcf02!8m2!3d51.0354638!4d7.0513096!16s%2Fg%2F11cn30c9zf!19sChIJC_nQgWkpv0cRAs87CcktSUk?authuser=0&hl=de&rclk=1
126,Pizzeria La Notte,51371,,4.6,54,1,1,1,1,1.82,4.535,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Pizzeria+La+Notte/data=!4m7!3m6!1s0x47bf2d0602ee868b:0x4c60f08e8cf49f1d!8m2!3d51.0649734!4d6.9912831!16s%2Fg%2F11ty0mldzb!19sChIJi4buAgYtv0cRHZ_0jI7wYEw?authuser=0&hl=de&rclk=1
127,Praxis Dr. Klünsch & Partner - Standort Schlebusch,51375,,2.8,54,1,1,1,1,1.82,2.767,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Praxis+Dr.+Kl%C3%BCnsch+%26+Partner+-+Standort+Schlebusch/data=!4m7!3m6!1s0x47bf291634c36e97:0xe4ae9a0efd9cf694!8m2!3d51.0333438!4d7.0477195!16s%2Fg%2F11g6_6nz_j!19sChIJl27DNBYpv0cRlPac_Q6aruQ?authuser=0&hl=de&rclk=1
128,Die Perücke,51371,,4.6,36,1,1,1,1,2.7,4.503,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Die+Per%C3%BCcke/data=!4m7!3m6!1s0x47bf2eeb65d18023:0x3a826f5f1595cce7!8m2!3d51.0316351!4d6.9881592!16s%2Fg%2F1tgdmpxj!19sChIJI4DRZesuv0cR58yVFV9vgjo?authuser=0&hl=de&rclk=1
129,Aram Barbershop,51375,,4.9,30,1,1,1,1,3.23,4.774,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Aram+Barbershop/data=!4m7!3m6!1s0x47bf29003628904b:0x4ef739c16067151!8m2!3d51.0007407!4d7.0398212!16s%2Fg%2F11mm87jh4_!19sChIJS5AoNgApv0cRUXEGFpxz7wQ?authuser=0&hl=de&rclk=1
130,SSH Leverkusen | Kfz-Ingenieurbüro Schröter,51375,,4.8,29,1,1,1,1,3.33,4.673,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/SSH+Leverkusen+%7C+Kfz-Ingenieurb%C3%BCro+Schr%C3%B6ter/data=!4m7!3m6!1s0x47bf296d47d914c7:0xf670320bdde49984!8m2!3d51.0297116!4d7.0453782!16s%2Fg%2F1vp6z9tv!19sChIJxxTZR20pv0cRhJnk3QsycPY?authuser=0&hl=de&rclk=1
131,Schwimmschule Aqua-Vital,51373,,3.5,25,1,1,1,1,3.85,3.404,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Schwimmschule+Aqua-Vital/data=!4m7!3m6!1s0x47bf2ebbc70a0ed3:0x6021faa09ad8d7ec!8m2!3d51.03901!4d7.004361!16s%2Fg%2F11cmhwqq96!19sChIJ0w4Kx7suv0cR7NfYmqD6IWA?authuser=0&hl=de&rclk=1
132,Donkeytec,51381,,5,22,1,1,1,1,4.35,4.826,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Donkeytec/data=!4m7!3m6!1s0x47bf2fc5e13f0973:0x7ea79fa0c0852b34!8m2!3d51.0478834!4d7.020029!16s%2Fg%2F11hj84tdlj!19sChIJcwk_4cUvv0cRNCuFwKCfp34?authuser=0&hl=de&rclk=1
133,Blisterzentrum Rheinland GmbH & Co. KG (Leverkusen),51381,,3.5,13,1,1,1,1,7.14,3.321,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Blisterzentrum+Rheinland+GmbH+%26+Co.+KG+%28Leverkusen%29/data=!4m7!3m6!1s0x47bf2ea84829c113:0x5fc98225ef0e0be8!8m2!3d51.0515561!4d7.0146318!16s%2Fg%2F11b6dg6r7z!19sChIJE8EpSKguv0cR6AsO7yWCyV8?authuser=0&hl=de&rclk=1
